@relation train

@attribute employee_id numeric
@attribute department {'Sales  Marketing',Operations,Technology,Analytics,RD,Procurement,Finance,HR,Legal}
@attribute region {region_7,region_22,region_19,region_23,region_26,region_2,region_20,region_34,region_1,region_4,region_29,region_31,region_15,region_14,region_11,region_5,region_28,region_17,region_13,region_16,region_25,region_10,region_27,region_30,region_12,region_21,region_8,region_32,region_6,region_33,region_24,region_3,region_9,region_18}
@attribute education {'Masters  above',Bachelors,'Below Secondary'}
@attribute gender {f,m}
@attribute recruitment_channel {sourcing,other,referred}
@attribute no_of_trainings numeric
@attribute age numeric
@attribute previous_year_rating numeric
@attribute length_of_service numeric
@attribute 'KPIs_met >80\%' numeric
@attribute awards_won? numeric
@attribute avg_training_score numeric
@attribute is_promoted numeric
@attribute Class {yes,No}

@data
28509,'Sales  Marketing',region_7,Bachelors,m,other,1,40,5,8,1,0,54,0,yes
33587,'Sales  Marketing',region_28,'Masters  above',m,sourcing,1,42,5,4,0,0,50,0,yes
21387,Operations,region_13,Bachelors,m,other,1,35,4,6,1,0,57,1,No
55927,Operations,region_13,'Masters  above',f,sourcing,1,41,4,6,1,0,62,0,yes
60763,Procurement,region_2,Bachelors,f,other,1,23,3,2,0,0,73,0,yes
53167,'Sales  Marketing',region_16,Bachelors,m,sourcing,2,31,3,4,0,0,50,0,yes
32672,Analytics,region_22,'Masters  above',m,other,1,42,2,19,0,0,79,0,yes
48785,'Sales  Marketing',region_22,Bachelors,m,other,3,29,4,2,0,0,49,0,yes
51444,HR,region_13,Bachelors,f,other,1,30,?,1,1,0,54,0,yes
75778,Operations,region_2,Bachelors,m,sourcing,1,41,4,6,1,0,63,0,yes
14141,'Sales  Marketing',region_7,Bachelors,f,other,1,40,3,2,1,0,90,1,No
17894,'Sales  Marketing',region_2,Bachelors,m,referred,1,34,5,5,0,0,49,0,yes
54380,'Sales  Marketing',region_4,Bachelors,f,other,1,31,4,2,0,0,46,0,yes
51892,Technology,region_2,Bachelors,m,other,1,27,5,2,0,0,86,1,No
3625,Procurement,region_21,Bachelors,m,sourcing,4,30,3,2,0,0,72,0,yes
38771,Procurement,region_23,Bachelors,f,other,1,27,4,4,1,0,72,1,No
18959,Technology,region_15,Bachelors,m,other,4,36,4,7,0,0,82,0,yes
21137,Technology,region_2,Bachelors,m,sourcing,1,35,4,6,0,0,77,0,yes
26097,'Sales  Marketing',region_25,'Masters  above',m,other,1,34,5,7,1,0,51,1,No
38052,Procurement,region_34,'Masters  above',m,sourcing,1,37,5,3,0,1,92,1,No
41746,Operations,region_22,Bachelors,f,sourcing,1,27,?,1,1,0,58,0,yes
72744,Procurement,region_2,'Masters  above',m,sourcing,2,47,3,5,1,0,71,0,yes
5461,Analytics,region_8,Bachelors,m,other,1,28,?,1,1,0,83,0,yes
15227,Procurement,region_27,'Masters  above',f,other,1,40,5,5,0,0,68,0,yes
66874,'Sales  Marketing',region_27,Bachelors,f,other,1,30,?,1,0,0,50,0,yes
42068,Operations,region_1,'Masters  above',m,other,1,38,5,9,1,0,61,0,yes
54825,'Sales  Marketing',region_25,Bachelors,m,other,1,30,3,2,0,0,47,0,yes
77709,'Sales  Marketing',region_11,Bachelors,f,sourcing,1,28,5,3,0,0,46,0,yes
43712,Procurement,region_22,Bachelors,m,sourcing,2,28,5,4,1,0,67,0,yes
74783,Operations,region_29,Bachelors,m,sourcing,1,35,4,7,0,0,58,0,yes
19318,Analytics,region_22,Bachelors,m,other,1,32,3,8,0,0,89,1,No
12096,'Sales  Marketing',region_26,'Masters  above',m,sourcing,1,36,5,8,0,0,50,0,yes
5102,Operations,region_7,Bachelors,m,sourcing,1,24,?,1,1,0,56,0,yes
29521,Technology,region_15,Bachelors,m,other,1,27,3,4,1,0,78,0,yes
36371,Finance,region_28,'Masters  above',m,other,2,34,3,7,0,0,56,0,yes
51164,Technology,region_14,Bachelors,f,other,1,31,4,4,1,1,78,0,yes
17812,Technology,region_27,Bachelors,f,sourcing,1,30,4,2,0,0,77,0,yes
7606,Technology,region_29,Bachelors,f,other,2,30,3,7,1,1,76,0,yes
50593,Finance,region_23,Bachelors,m,sourcing,1,31,?,1,1,0,56,0,yes
73735,Analytics,region_25,Bachelors,m,other,1,30,5,3,1,0,84,0,yes
29313,Finance,region_22,Bachelors,m,sourcing,1,28,3,2,0,0,57,0,yes
40262,Technology,region_2,Bachelors,m,other,2,28,3,5,0,0,81,0,yes
36904,'Sales  Marketing',region_15,Bachelors,m,other,1,29,3,2,0,0,51,0,yes
62552,'Sales  Marketing',region_22,'Masters  above',m,sourcing,1,46,3,11,1,0,51,0,yes
63285,Technology,region_29,Bachelors,m,sourcing,1,31,5,4,1,0,80,0,yes
74203,Procurement,region_5,Bachelors,m,sourcing,1,28,1,4,0,0,72,0,yes
75344,'Sales  Marketing',region_4,'Masters  above',m,other,1,31,4,6,0,0,50,0,yes
74018,HR,region_7,'Masters  above',f,other,1,37,3,9,0,0,48,0,yes
34985,Technology,region_5,Bachelors,f,other,2,34,5,8,0,0,88,1,No
35930,Procurement,region_2,Bachelors,m,sourcing,1,25,5,3,1,0,70,1,No
6708,Operations,region_22,'Masters  above',m,sourcing,1,40,4,4,1,0,57,0,yes
5515,Operations,region_13,'Masters  above',m,other,1,43,3,7,1,0,56,1,No
53373,Operations,region_13,Bachelors,m,other,1,36,1,5,0,0,56,0,yes
69316,Legal,region_29,Bachelors,m,sourcing,1,29,3,3,0,0,63,0,yes
41009,Finance,region_13,Bachelors,m,sourcing,2,35,3,2,0,0,56,0,yes
50622,Analytics,region_25,'Masters  above',m,other,1,34,5,2,0,0,84,0,yes
30106,'Sales  Marketing',region_16,Bachelors,f,sourcing,1,32,4,4,1,0,45,0,yes
45157,HR,region_4,Bachelors,m,other,1,27,?,1,1,0,50,0,yes
23523,Technology,region_26,Bachelors,m,sourcing,1,29,3,5,0,0,75,0,yes
74349,'Sales  Marketing',region_5,Bachelors,m,sourcing,1,34,1,4,0,0,48,0,yes
70543,Procurement,region_2,'Masters  above',m,sourcing,1,37,5,7,1,0,70,0,yes
42245,Procurement,region_22,Bachelors,f,other,1,33,3,3,1,0,73,0,yes
34405,Procurement,region_2,'Masters  above',f,other,1,33,5,4,1,0,67,0,yes
4134,'Sales  Marketing',region_16,Bachelors,f,other,1,39,1,8,0,0,45,0,yes
23599,Technology,region_23,'Masters  above',m,other,1,34,4,7,0,0,82,0,yes
942,Technology,region_22,Bachelors,m,other,2,32,4,6,0,0,84,0,yes
5281,'Sales  Marketing',region_7,'Masters  above',m,other,1,34,4,6,0,0,53,0,yes
197,Finance,region_12,Bachelors,m,other,1,29,5,6,1,0,61,0,yes
37574,'Sales  Marketing',region_2,Bachelors,m,sourcing,2,28,1,2,0,0,50,0,yes
26773,Technology,region_7,Bachelors,f,other,1,28,2,5,0,0,75,0,yes
70034,Procurement,region_2,'Masters  above',f,other,2,35,3,9,0,0,70,0,yes
40565,Technology,region_2,Bachelors,f,other,2,40,3,3,0,0,86,0,yes
17193,'Sales  Marketing',region_2,Bachelors,f,other,2,27,2,4,0,0,54,0,yes
76550,Procurement,region_22,Bachelors,f,other,3,26,3,3,1,0,70,0,yes
53841,Operations,region_2,Bachelors,m,sourcing,1,43,2,12,0,0,57,0,yes
28314,Finance,region_26,Bachelors,m,other,1,23,?,1,0,0,61,0,yes
30196,Analytics,region_25,Bachelors,m,sourcing,1,29,5,6,1,0,84,0,yes
29757,'Sales  Marketing',region_14,Bachelors,m,sourcing,1,43,3,15,0,0,51,0,yes
6073,'Sales  Marketing',region_2,Bachelors,m,sourcing,3,27,4,4,0,0,49,0,yes
9863,Procurement,region_27,Bachelors,m,sourcing,1,26,4,4,1,0,70,0,yes
34306,Procurement,region_13,Bachelors,f,other,1,31,5,5,1,0,72,0,yes
34041,Operations,region_7,Bachelors,m,other,1,40,4,11,0,0,58,0,yes
21356,Operations,region_15,Bachelors,f,other,2,39,5,12,1,0,55,0,yes
29540,Operations,region_2,Bachelors,f,other,2,30,3,6,0,0,57,0,yes
51669,Technology,region_2,'Masters  above',m,other,1,47,4,4,1,0,77,0,yes
33825,'Sales  Marketing',region_17,Bachelors,m,other,1,34,4,7,1,0,48,1,No
6254,Operations,region_2,?,f,other,1,33,4,9,0,0,64,0,yes
11645,'Sales  Marketing',region_23,'Masters  above',m,other,1,41,5,7,0,0,51,0,yes
3231,Technology,region_7,Bachelors,m,other,1,29,1,4,0,0,80,0,yes
7030,Analytics,region_31,Bachelors,f,other,1,32,3,4,0,0,86,0,yes
54198,Procurement,region_7,'Masters  above',f,other,1,47,5,9,0,0,68,0,yes
62293,Operations,region_27,Bachelors,m,other,1,35,4,3,0,0,65,0,yes
25312,Technology,region_22,Bachelors,m,other,1,27,4,2,0,0,75,0,yes
75610,Analytics,region_32,Bachelors,m,other,1,29,1,3,0,0,81,0,yes
16518,'Sales  Marketing',region_20,Bachelors,m,sourcing,2,36,3,9,0,0,49,0,yes
42747,'Sales  Marketing',region_15,Bachelors,m,other,2,35,1,8,0,0,39,0,yes
67980,Procurement,region_2,Bachelors,f,sourcing,2,34,3,2,0,0,70,0,yes
53630,'Sales  Marketing',region_23,'Masters  above',f,sourcing,1,34,4,5,1,1,94,1,No
72423,Operations,region_2,'Masters  above',m,sourcing,1,39,3,2,1,0,60,0,yes
73022,'Sales  Marketing',region_25,Bachelors,m,other,1,26,5,2,1,0,51,0,yes
63976,Operations,region_31,Bachelors,f,sourcing,1,30,5,4,0,0,56,0,yes
60761,Operations,region_16,?,f,other,1,31,4,2,0,0,62,0,yes
57228,HR,region_2,'Masters  above',m,sourcing,1,44,5,6,0,0,48,0,yes
14912,'Sales  Marketing',region_1,Bachelors,m,other,1,38,3,4,1,0,49,0,yes
22725,Technology,region_26,Bachelors,m,other,1,40,1,3,0,0,78,0,yes
18981,Legal,region_2,'Masters  above',m,sourcing,1,50,5,6,0,1,58,0,yes
50845,Procurement,region_19,'Masters  above',m,other,1,44,3,12,0,0,70,0,yes
11800,Procurement,region_2,'Below Secondary',f,other,1,23,1,2,0,0,69,0,yes
16351,'Sales  Marketing',region_7,'Masters  above',f,sourcing,1,36,1,2,0,0,53,0,yes
75881,Analytics,region_27,Bachelors,m,sourcing,1,25,1,4,0,0,80,0,yes
73200,Operations,region_28,Bachelors,m,sourcing,1,34,5,4,1,0,58,0,yes
17833,Analytics,region_4,Bachelors,m,sourcing,1,28,?,1,0,0,85,0,yes
58338,Analytics,region_1,Bachelors,m,other,2,30,5,6,1,0,81,0,yes
40187,Procurement,region_12,Bachelors,m,sourcing,1,35,1,8,0,0,67,0,yes
70193,Analytics,region_6,Bachelors,m,sourcing,1,33,4,8,0,0,86,0,yes
27188,Analytics,region_13,'Masters  above',m,other,1,30,3,4,1,0,80,0,yes
24291,Analytics,region_26,Bachelors,m,other,2,27,5,3,1,0,85,0,yes
43676,Procurement,region_2,Bachelors,m,other,4,29,?,1,0,0,68,0,yes
52231,Operations,region_2,Bachelors,m,sourcing,1,43,3,3,0,0,58,0,yes
34241,Analytics,region_22,Bachelors,m,other,2,28,3,5,1,0,86,0,yes
76661,Procurement,region_17,Bachelors,m,other,1,31,5,3,1,0,68,0,yes
50595,Operations,region_2,Bachelors,f,other,1,43,4,12,0,0,58,0,yes
67673,Operations,region_4,Bachelors,f,other,1,35,5,9,1,0,60,0,yes
10547,'Sales  Marketing',region_5,Bachelors,m,other,2,35,3,9,0,0,49,0,yes
73405,Operations,region_2,'Masters  above',m,other,1,50,3,8,1,0,59,0,yes
73114,HR,region_17,Bachelors,f,other,1,26,4,3,0,0,50,0,yes
22572,'Sales  Marketing',region_27,Bachelors,m,sourcing,1,32,3,5,1,0,52,0,yes
62923,Operations,region_13,'Masters  above',f,other,1,38,5,2,1,1,93,1,No
57235,'Sales  Marketing',region_26,?,m,other,1,22,4,2,0,0,51,0,yes
22300,HR,region_20,Bachelors,m,other,1,28,?,1,1,0,52,0,yes
24090,Procurement,region_14,Bachelors,f,sourcing,1,37,3,9,0,0,69,0,yes
57298,Analytics,region_2,Bachelors,m,sourcing,2,54,3,9,1,0,86,0,yes
25629,'Sales  Marketing',region_11,Bachelors,m,sourcing,1,36,3,8,0,0,51,0,yes
71339,Technology,region_6,Bachelors,m,other,1,35,3,8,0,0,78,0,yes
54714,Analytics,region_29,Bachelors,m,other,1,39,3,4,1,0,85,0,yes
7390,Operations,region_12,Bachelors,f,sourcing,1,31,5,4,1,0,63,0,yes
9563,Operations,region_31,Bachelors,m,other,2,38,3,7,1,1,60,0,yes
39107,'Sales  Marketing',region_22,Bachelors,m,sourcing,1,28,1,2,0,0,48,0,yes
19445,'Sales  Marketing',region_7,Bachelors,m,sourcing,3,26,2,3,0,0,52,0,yes
42636,'Sales  Marketing',region_26,Bachelors,m,sourcing,1,29,?,1,0,0,54,0,yes
32557,Analytics,region_20,Bachelors,m,sourcing,1,30,3,4,0,0,84,0,yes
43396,Operations,region_22,Bachelors,m,sourcing,2,37,2,4,1,0,57,1,No
24414,RD,region_2,?,m,other,1,25,?,1,1,0,76,0,yes
63237,Technology,region_22,Bachelors,m,referred,1,26,4,2,0,0,82,0,yes
32838,Technology,region_7,Bachelors,m,other,1,31,4,4,0,0,78,0,yes
23003,Technology,region_14,Bachelors,f,other,1,38,5,7,1,0,82,0,yes
45198,'Sales  Marketing',region_13,Bachelors,m,other,1,39,4,9,0,0,49,0,yes
40376,'Sales  Marketing',region_4,Bachelors,m,other,1,30,5,4,0,1,50,0,yes
60176,Procurement,region_15,'Masters  above',f,other,1,34,5,8,1,0,67,0,yes
67652,Procurement,region_23,'Masters  above',f,other,1,33,3,5,1,0,72,0,yes
15476,Technology,region_2,Bachelors,f,other,1,29,5,3,1,0,78,0,yes
55811,Operations,region_2,Bachelors,m,sourcing,1,28,4,2,1,0,61,0,yes
15737,Finance,region_22,Bachelors,m,sourcing,1,24,?,1,0,0,56,0,yes
10058,Analytics,region_22,Bachelors,m,other,2,26,4,2,1,0,87,0,yes
73435,Legal,region_22,Bachelors,m,sourcing,1,34,5,4,0,0,64,0,yes
51255,'Sales  Marketing',region_27,Bachelors,m,sourcing,1,35,3,7,0,0,46,0,yes
70060,Technology,region_13,'Masters  above',m,other,1,43,3,14,0,0,79,0,yes
51473,'Sales  Marketing',region_15,Bachelors,m,other,1,34,1,8,0,0,39,0,yes
71904,Technology,region_7,'Masters  above',f,other,2,38,3,10,0,0,88,0,yes
76080,Operations,region_7,Bachelors,f,other,1,34,1,5,0,0,54,0,yes
33357,Operations,region_22,Bachelors,m,sourcing,1,41,4,4,0,0,63,0,yes
53502,Finance,region_7,Bachelors,m,sourcing,2,29,1,4,0,0,61,0,yes
26409,Operations,region_2,Bachelors,m,other,1,33,4,3,0,0,61,0,yes
59608,'Sales  Marketing',region_2,'Masters  above',f,other,1,41,4,5,1,0,48,0,yes
28687,Operations,region_2,'Masters  above',m,other,3,38,3,11,0,0,57,0,yes
34312,Procurement,region_2,'Masters  above',f,other,2,54,4,23,0,0,66,0,yes
11438,'Sales  Marketing',region_13,'Masters  above',f,sourcing,2,34,2,8,0,0,49,0,yes
11794,RD,region_2,Bachelors,m,other,2,26,5,3,1,0,87,0,yes
48756,Operations,region_7,Bachelors,f,sourcing,1,35,5,3,0,0,59,0,yes
35873,Legal,region_2,'Below Secondary',m,other,1,28,?,1,0,0,62,0,yes
13970,Operations,region_33,'Masters  above',m,other,1,36,3,4,0,0,60,0,yes
49868,Technology,region_5,Bachelors,m,other,1,45,3,15,0,0,87,0,yes
25261,Procurement,region_7,'Masters  above',m,other,1,38,4,7,0,0,66,0,yes
44536,'Sales  Marketing',region_27,Bachelors,f,other,1,26,2,4,0,0,47,0,yes
55550,Analytics,region_27,?,m,sourcing,1,31,3,4,0,0,85,0,yes
27989,Analytics,region_34,Bachelors,m,sourcing,1,32,3,7,0,0,87,0,yes
12598,Analytics,region_6,Bachelors,m,sourcing,1,29,4,4,0,0,78,0,yes
32877,'Sales  Marketing',region_2,Bachelors,f,other,1,40,3,12,0,0,50,0,yes
30682,Technology,region_2,Bachelors,m,referred,2,29,4,6,0,0,75,0,yes
1829,Analytics,region_28,Bachelors,m,other,2,31,5,7,1,0,87,0,yes
2177,Finance,region_16,Bachelors,m,other,1,32,5,6,1,0,58,0,yes
51771,Operations,region_17,Bachelors,m,other,1,42,5,11,0,0,67,0,yes
26026,Procurement,region_15,Bachelors,f,sourcing,1,30,5,3,1,0,65,0,yes
64977,Procurement,region_16,Bachelors,f,other,1,24,3,2,1,0,70,0,yes
44585,'Sales  Marketing',region_30,Bachelors,m,sourcing,1,35,3,7,0,0,56,0,yes
43562,Technology,region_5,Bachelors,f,sourcing,2,32,1,3,0,0,80,0,yes
56287,HR,region_2,Bachelors,f,sourcing,1,22,3,2,0,0,47,0,yes
19100,'Sales  Marketing',region_2,Bachelors,m,sourcing,2,44,5,14,0,0,48,0,yes
58203,Operations,region_16,Bachelors,m,other,2,39,3,9,0,0,58,0,yes
12504,Technology,region_7,Bachelors,f,other,1,46,4,17,0,0,85,0,yes
49126,Technology,region_15,Bachelors,m,other,1,29,2,5,0,0,77,0,yes
66469,Finance,region_7,Bachelors,m,other,1,26,1,3,0,0,59,0,yes
53350,Operations,region_23,Bachelors,m,other,1,35,4,5,0,0,61,0,yes
22031,Procurement,region_2,Bachelors,f,other,1,29,4,2,1,0,95,1,No
36185,Technology,region_13,Bachelors,m,sourcing,1,30,2,9,0,0,79,0,yes
58415,'Sales  Marketing',region_7,Bachelors,m,other,1,45,4,5,0,0,50,0,yes
71763,'Sales  Marketing',region_15,Bachelors,f,other,1,30,1,6,0,0,47,0,yes
62742,Finance,region_32,Bachelors,m,sourcing,1,28,2,4,0,0,59,0,yes
33619,Technology,region_2,'Masters  above',m,sourcing,1,46,5,10,1,0,76,0,yes
41212,Procurement,region_7,Bachelors,m,sourcing,1,27,2,2,0,0,69,0,yes
40204,'Sales  Marketing',region_11,Bachelors,m,sourcing,1,34,2,5,0,0,47,0,yes
59131,Analytics,region_19,Bachelors,m,sourcing,2,32,5,3,1,0,86,0,yes
